编号,章节,公司或主题,事实或计算,期间与口径,来源,链接,证据属性,支持的判断,不能支持的判断,强度
I01,第一章,中国体育产业,"体育产业总产出38421亿元、增加值16033亿元；体育用品制造增加值4245亿元",2024年,国家统计局,"https://www.stats.gov.cn/sj/zxfb/202512/t20251231_1962228.html",官方统计,运动消费和体育用品具备较大产业基础,不能直接等同运动鞋服市场规模,强
I02,第一章,中国体育用品,"2024年制造与销售总产出20850亿元；2025年运动服饰销售增长7.38%；四大电商平台体育用品销售4493.94亿元并增长15.89%",2024至2025年,国家体育总局,"https://www.sport.gov.cn/n20001280/n20067608/n20067635/c29638558/content.html",政府行业报告,行业仍增长且线上渠道重要,不能证明所有品牌均能获得相同增速,强
I03,第一章,户外运动,国家部署建设高质量户外运动目的地,2025年政策,中国政府网,"https://app.www.gov.cn/govdata/gov/202501/22/523935/articleNew.html",政策文件,户外细分场景受到政策推动,不能推导具体品牌收入增长,强
A01,第二章,安踏,"收入802.19亿元、同比增长13.3%；经营利润190.91亿元、经营利润率23.8%",2025财年,安踏体育年度业绩,"https://ir.anta.com/en/news_detail.php?id=160710",公司正式披露,安踏在国内样本中规模和盈利领先,不能单独证明组织模式更优,强
A02,第二章,安踏,"安踏品牌收入347.50亿元、FILA收入284.68亿元、其他品牌收入170.01亿元；其他品牌增长59.2%",2025财年,安踏体育年度业绩,"https://ir.anta.com/en/news_detail.php?id=160710",公司正式披露,品牌组合尤其其他品牌是主要增长来源,不能识别各品牌增长的内部组织原因,强
A03,第二章,安踏,平均库存周转天数137天,2025财年,安踏体育2025年报,"https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0409/2026040900840.pdf",经审计年报,库存与资本效率需要纳入组合治理,不能不经业务结构校正就判定效率低于同行,强
A04,第二章,安踏,员工超过69100人,截至2025年末,安踏体育年度业绩,"https://ir.anta.com/en/news_detail.php?id=160710",公司正式披露,可在明确边界后测算集团人均指标,不能与以分销为主企业直接排名,强
A05,第三章,安踏,提出三大品牌群并强调多品牌协同、零售运营、全球化与资源整合能力,2024至2026战略,安踏体育战略发布,"https://ir.anta.com/sc/news_detail.php?id=126812",公司战略披露,支持品牌经营单元与集团平台并存的判断,不能证明平台协同已经有效兑现,强
A06,第三章,安踏,"两名联席CEO分别覆盖品牌经营、海外及集团职能；董事长负责战略、人才、文化、治理与并购等",当前官网披露,安踏董事及高级管理层,"https://ir.anta.com/sc/about_bod.php",公司治理披露,支持集团层与品牌层分工分析,不能还原非公开的实际决策权与协作质量,强
A07,第三章,安踏,"收购JACK WOLFSKIN并组建联合管理团队；与MUSINSA设立中国合资公司且安踏持股40%",2025年,安踏公司公告,"https://ir.anta.com/sc/news_detail.php?id=153056",公司正式披露,说明资产类型和合作关系日益多样,不能推导整合结果已经成功,强
A08,第三章,安踏,"拟以15亿欧元现金收购PUMA约29.06%股份，同时强调支持其管理层和品牌自主性",2026年,安踏公司公告,"https://ir.anta.com/sc/news_detail.php?id=159082",公司正式披露,支持差异化资本治理而非统一经营整合的需要,不能预测交易完成后的协同效果,强
L01,第二章,李宁,"收入295.98亿元、经营利润率13.2%、净利率9.9%、ROE10.9%",2025财年,李宁财务指标,"https://ir.lining.com/en/ir/highlights.php",公司正式披露,提供成熟单品牌经营参照,不能直接评价品牌势能或组织健康度,强
L02,第二章,李宁,平均库存周转天数64天,2025财年,李宁财务指标,"https://ir.lining.com/en/ir/highlights.php",公司正式披露,支持库存效率横向观察,不能忽略渠道结构差异做直接优劣结论,强
